example_id,strategy,expected,output,exact_match,token_f1,retrieved_example_ids
e1,zero_shot,decrease,increase,0.0,0.0,
e1,fixed_few_shot,decrease,increase,0.0,0.0,
e1,retrieved_few_shot,decrease,increase,0.0,0.0,"d1,d3"
e2,zero_shot,hello,hELLO,1.0,1.0,
e2,fixed_few_shot,hello,hELLO,1.0,1.0,
e2,retrieved_few_shot,hello,hELLO,1.0,1.0,"d2,d1"
e3,zero_shot,5,Two plus three.,0.0,0.0,
e3,fixed_few_shot,5,0,0.0,0.0,
e3,retrieved_few_shot,5,3,0.0,0.0,"d3,d1"
e4,zero_shot,batteries,battery is a term used to refer to a unit of energy.,0.0,0.0,
e4,fixed_few_shot,batteries,battery,0.0,0.0,
e4,retrieved_few_shot,batteries,battery,0.0,0.0,"d3,d1"
